feature,lr_coef,lr_abs,xgb_gain,rank_lr,rank_xgb,avg_rank
broad_jump,0.6412830235692598,0.6412830235692598,0.12511785,1.0,1.0,1.0
passing_ints,0.490529019133308,0.490529019133308,0.06570149,3.0,4.0,3.5
rushing_yds,0.32224842737376924,0.32224842737376924,0.079555206,8.0,2.0,5.0
had_postseason,0.32378826872264915,0.32378826872264915,0.065624885,7.0,5.0,6.0
vertical,0.48245385864410884,0.48245385864410884,0.05445581,4.0,9.0,6.5
td_int_ratio,0.5874626711667008,0.5874626711667008,0.04938641,2.0,11.0,6.5
reg_win_pct,0.23843906743333856,0.23843906743333856,0.06600573,10.0,3.0,6.5
passing_ypa,0.2863565023286563,0.2863565023286563,0.05497128,9.0,8.0,8.5
weight_z,0.46086834635453955,0.46086834635453955,0.049230386,5.0,12.0,8.5
forty,-0.3241942609327778,0.3241942609327778,0.041310493,6.0,16.0,11.0
adj_completion_pct,0.22458614100656846,0.22458614100656846,0.04837132,11.0,13.0,12.0
passing_yds,0.028731127001417157,0.028731127001417157,0.0604546,19.0,7.0,13.0
conf_weight,0.01870418752194923,0.01870418752194923,0.06378215,20.0,6.0,13.0
completion_pct,-0.057381709748151134,0.057381709748151134,0.053586006,18.0,10.0,14.0
passing_tds,0.0901026515524463,0.0901026515524463,0.04282097,15.0,15.0,15.0
rushing_td,-0.06618923525005795,0.06618923525005795,0.04364466,17.0,14.0,15.5
vertical_attended,0.10028654524641362,0.10028654524641362,0.0,12.5,19.0,15.75
broad_jump_attended,0.10028654524641362,0.10028654524641362,0.0,12.5,19.0,15.75
forty_attended,0.10028654524641356,0.10028654524641356,0.0,14.0,19.0,16.5
height_z,0.07859874872619951,0.07859874872619951,0.03598078,16.0,17.0,16.5
